"Rank","Player","Team","Position","Points","Games","Avg"
"380","Louis Murphy","FA","WR","26.1","6","4.4"
"380","Eric Tomlinson","NYJ","TE","26.1","9","2.9"
"381","Cairo Santos","FA","K","26.0","5","5.2"
"382","Daniel Brown","CHI","TE","25.9","9","2.9"
"382","Robert Turbin","IND","RB","25.9","6","4.3"
"383","David Morgan","MIN","TE","25.5","9","2.8"
"384","Bryce Petty","MIA","QB","25.4","4","6.4"
"385","C.J. Uzomah","CIN","TE","25.2","11","2.3"
"386","Brandon Williams","FA","TE","25.1","9","2.8"
"387","Dwayne Allen","NE","TE","24.6","12","2.1"
"388","Niles Paul","JAC","TE","22.8","11","2.1"
"389","Tre McBride","NYJ","WR","22.4","5","4.5"
"390","Kenjon Barner","CAR","RB","22.3","13","1.7"
"391","Jaydon Mickens","JAC","WR","21.7","10","2.2"
"392","Paul Perkins","NYG","RB","21.6","8","2.7"
"393","CJ Ham","MIN","RB","21.1","14","1.5"
"394","Brenton Bersin","FA","WR","20.8","6","3.5"
"395","Anthony Sherman","KC","RB","20.7","7","3.0"
"395","Chris Johnson","FA","RB","20.7","4","5.2"
"396","Mike Williams","LAC","WR","20.5","9","2.3"
"397","Brandon Tate","NO","WR","20.1","13","1.5"
"398","Logan Thomas","BUF","TE","19.7","5","3.9"
"399","Jamize Olawale","DAL","RB","19.6","7","2.8"
"400","David Fales","MIA","QB","19.4","2","9.7"
"401","Younghoe Koo","FA","K","19.0","4","4.8"
"402","James Hanna","FA","TE","18.8","8","2.4"
"403","Josh Malone","CIN","WR","18.5","9","2.1"
"404","Darren Sproles","PHI","RB","18.4","3","6.1"
"405","Chad Hansen","NYJ","WR","18.4","8","2.3"
"406","Travis Rudolph","NYG","WR","18.1","6","3.0"
"407","Pharoh Cooper","LAR","WR","18.0","16","1.1"
"407","Austin Traylor","DEN","TE","18.0","5","3.6"
"408","Michael Floyd","NO","WR","17.8","10","1.8"
"409","Breshad Perriman","BAL","WR","17.7","11","1.6"
"410","Fozzy Whittaker","CAR","RB","17.5","10","1.8"
"411","Kasen Williams","IND","WR","17.4","6","2.9"
"412","Michael Hoomanawanui","NO","TE","17.2","7","2.5"
"412","Jerell Adams","NYG","TE","17.2","7","2.5"
"412","Jeremy Hill","NE","RB","17.2","7","2.5"
